user,stimulus_order,image_a,image_b,reference_a,reference_b,choice
test1,26,images/train_2000/008.png_crop_5217_0000_a.png,images/train_2000/008.png_crop_5217_0000_b.png,images/train_2000/008.png_crop_5217_0000_ref.png,images/train_2000/008.png_crop_5217_0000_ref.png,A
test1,27,images/train_2000/008.png_crop_5234_0000_a.png,images/train_2000/008.png_crop_5234_0000_b.png,images/train_2000/008.png_crop_5234_0000_ref.png,images/train_2000/008.png_crop_5234_0000_ref.png,A
test1,28,images/train_2000/008.png_crop_5318_0000_a.png,images/train_2000/008.png_crop_5318_0000_b.png,images/train_2000/008.png_crop_5318_0000_ref.png,images/train_2000/008.png_crop_5318_0000_ref.png,A
test1,29,images/train_2000/008.png_crop_662_0000_a.png,images/train_2000/008.png_crop_662_0000_b.png,images/train_2000/008.png_crop_662_0000_ref.png,images/train_2000/008.png_crop_662_0000_ref.png,A
test1,30,images/train_2000/008.png_crop_693_0000_a.png,images/train_2000/008.png_crop_693_0000_b.png,images/train_2000/008.png_crop_693_0000_ref.png,images/train_2000/008.png_crop_693_0000_ref.png,A
test1,31,images/train_2000/008.png_crop_698_0000_a.png,images/train_2000/008.png_crop_698_0000_b.png,images/train_2000/008.png_crop_698_0000_ref.png,images/train_2000/008.png_crop_698_0000_ref.png,A
test1,32,images/train_2000/008.png_crop_745_0000_a.png,images/train_2000/008.png_crop_745_0000_b.png,images/train_2000/008.png_crop_745_0000_ref.png,images/train_2000/008.png_crop_745_0000_ref.png,B
test1,33,images/train_2000/008.png_crop_763_0000_a.png,images/train_2000/008.png_crop_763_0000_b.png,images/train_2000/008.png_crop_763_0000_ref.png,images/train_2000/008.png_crop_763_0000_ref.png,B
test1,34,images/train_2000/008.png_crop_878_0000_a.png,images/train_2000/008.png_crop_878_0000_b.png,images/train_2000/008.png_crop_878_0000_ref.png,images/train_2000/008.png_crop_878_0000_ref.png,A
test1,35,images/train_2000/009.png_crop_1033_0000_a.png,images/train_2000/009.png_crop_1033_0000_b.png,images/train_2000/009.png_crop_1033_0000_ref.png,images/train_2000/009.png_crop_1033_0000_ref.png,A
test1,36,images/train_2000/009.png_crop_1045_0000_a.png,images/train_2000/009.png_crop_1045_0000_b.png,images/train_2000/009.png_crop_1045_0000_ref.png,images/train_2000/009.png_crop_1045_0000_ref.png,A
test1,37,images/train_2000/009.png_crop_1663_0000_a.png,images/train_2000/009.png_crop_1663_0000_b.png,images/train_2000/009.png_crop_1663_0000_ref.png,images/train_2000/009.png_crop_1663_0000_ref.png,A
test1,38,images/train_2000/009.png_crop_168_0000_a.png,images/train_2000/009.png_crop_168_0000_b.png,images/train_2000/009.png_crop_168_0000_ref.png,images/train_2000/009.png_crop_168_0000_ref.png,A
test1,39,images/train_2000/009.png_crop_1732_0000_a.png,images/train_2000/009.png_crop_1732_0000_b.png,images/train_2000/009.png_crop_1732_0000_ref.png,images/train_2000/009.png_crop_1732_0000_ref.png,A
test1,40,images/train_2000/009.png_crop_1854_0000_a.png,images/train_2000/009.png_crop_1854_0000_b.png,images/train_2000/009.png_crop_1854_0000_ref.png,images/train_2000/009.png_crop_1854_0000_ref.png,B
test1,41,images/train_2000/009.png_crop_1972_0000_a.png,images/train_2000/009.png_crop_1972_0000_b.png,images/train_2000/009.png_crop_1972_0000_ref.png,images/train_2000/009.png_crop_1972_0000_ref.png,A
test1,42,images/train_2000/009.png_crop_2227_0000_a.png,images/train_2000/009.png_crop_2227_0000_b.png,images/train_2000/009.png_crop_2227_0000_ref.png,images/train_2000/009.png_crop_2227_0000_ref.png,B
test1,43,images/train_2000/009.png_crop_2264_0000_a.png,images/train_2000/009.png_crop_2264_0000_b.png,images/train_2000/009.png_crop_2264_0000_ref.png,images/train_2000/009.png_crop_2264_0000_ref.png,B
test1,44,images/train_2000/009.png_crop_2365_0000_a.png,images/train_2000/009.png_crop_2365_0000_b.png,images/train_2000/009.png_crop_2365_0000_ref.png,images/train_2000/009.png_crop_2365_0000_ref.png,A
test1,45,images/train_2000/009.png_crop_2378_0000_a.png,images/train_2000/009.png_crop_2378_0000_b.png,images/train_2000/009.png_crop_2378_0000_ref.png,images/train_2000/009.png_crop_2378_0000_ref.png,A
test1,46,images/train_2000/009.png_crop_239_0000_a.png,images/train_2000/009.png_crop_239_0000_b.png,images/train_2000/009.png_crop_239_0000_ref.png,images/train_2000/009.png_crop_239_0000_ref.png,A
test1,47,images/train_2000/009.png_crop_2751_0000_a.png,images/train_2000/009.png_crop_2751_0000_b.png,images/train_2000/009.png_crop_2751_0000_ref.png,images/train_2000/009.png_crop_2751_0000_ref.png,A
test1,48,images/train_2000/009.png_crop_2784_0000_a.png,images/train_2000/009.png_crop_2784_0000_b.png,images/train_2000/009.png_crop_2784_0000_ref.png,images/train_2000/009.png_crop_2784_0000_ref.png,B
test1,49,images/train_2000/009.png_crop_3181_0000_a.png,images/train_2000/009.png_crop_3181_0000_b.png,images/train_2000/009.png_crop_3181_0000_ref.png,images/train_2000/009.png_crop_3181_0000_ref.png,A
test1,50,images/train_2000/009.png_crop_3194_0000_a.png,images/train_2000/009.png_crop_3194_0000_b.png,images/train_2000/009.png_crop_3194_0000_ref.png,images/train_2000/009.png_crop_3194_0000_ref.png,B
test1,51,images/train_2000/009.png_crop_323_0000_a.png,images/train_2000/009.png_crop_323_0000_b.png,images/train_2000/009.png_crop_323_0000_ref.png,images/train_2000/009.png_crop_323_0000_ref.png,A
test1,52,images/train_2000/009.png_crop_3380_0000_a.png,images/train_2000/009.png_crop_3380_0000_b.png,images/train_2000/009.png_crop_3380_0000_ref.png,images/train_2000/009.png_crop_3380_0000_ref.png,A
test1,53,images/train_2000/009.png_crop_3458_0000_a.png,images/train_2000/009.png_crop_3458_0000_b.png,images/train_2000/009.png_crop_3458_0000_ref.png,images/train_2000/009.png_crop_3458_0000_ref.png,B
test1,54,images/train_2000/009.png_crop_3482_0000_a.png,images/train_2000/009.png_crop_3482_0000_b.png,images/train_2000/009.png_crop_3482_0000_ref.png,images/train_2000/009.png_crop_3482_0000_ref.png,B
test1,55,images/train_2000/009.png_crop_3551_0000_a.png,images/train_2000/009.png_crop_3551_0000_b.png,images/train_2000/009.png_crop_3551_0000_ref.png,images/train_2000/009.png_crop_3551_0000_ref.png,B
test1,56,images/train_2000/009.png_crop_3571_0000_a.png,images/train_2000/009.png_crop_3571_0000_b.png,images/train_2000/009.png_crop_3571_0000_ref.png,images/train_2000/009.png_crop_3571_0000_ref.png,B
test1,57,images/train_2000/009.png_crop_3673_0000_a.png,images/train_2000/009.png_crop_3673_0000_b.png,images/train_2000/009.png_crop_3673_0000_ref.png,images/train_2000/009.png_crop_3673_0000_ref.png,B
test1,58,images/train_2000/009.png_crop_3726_0000_a.png,images/train_2000/009.png_crop_3726_0000_b.png,images/train_2000/009.png_crop_3726_0000_ref.png,images/train_2000/009.png_crop_3726_0000_ref.png,B
test1,59,images/train_2000/009.png_crop_373_0000_a.png,images/train_2000/009.png_crop_373_0000_b.png,images/train_2000/009.png_crop_373_0000_ref.png,images/train_2000/009.png_crop_373_0000_ref.png,B
test1,60,images/train_2000/009.png_crop_3872_0000_a.png,images/train_2000/009.png_crop_3872_0000_b.png,images/train_2000/009.png_crop_3872_0000_ref.png,images/train_2000/009.png_crop_3872_0000_ref.png,B
test1,61,images/train_2000/009.png_crop_3990_0000_a.png,images/train_2000/009.png_crop_3990_0000_b.png,images/train_2000/009.png_crop_3990_0000_ref.png,images/train_2000/009.png_crop_3990_0000_ref.png,A
test1,62,images/train_2000/009.png_crop_4241_0000_a.png,images/train_2000/009.png_crop_4241_0000_b.png,images/train_2000/009.png_crop_4241_0000_ref.png,images/train_2000/009.png_crop_4241_0000_ref.png,B
test1,63,images/train_2000/009.png_crop_4274_0000_a.png,images/train_2000/009.png_crop_4274_0000_b.png,images/train_2000/009.png_crop_4274_0000_ref.png,images/train_2000/009.png_crop_4274_0000_ref.png,A
test1,64,images/train_2000/009.png_crop_4330_0000_a.png,images/train_2000/009.png_crop_4330_0000_b.png,images/train_2000/009.png_crop_4330_0000_ref.png,images/train_2000/009.png_crop_4330_0000_ref.png,A
test1,65,images/train_2000/009.png_crop_4903_0000_a.png,images/train_2000/009.png_crop_4903_0000_b.png,images/train_2000/009.png_crop_4903_0000_ref.png,images/train_2000/009.png_crop_4903_0000_ref.png,B
test1,66,images/train_2000/009.png_crop_499_0000_a.png,images/train_2000/009.png_crop_499_0000_b.png,images/train_2000/009.png_crop_499_0000_ref.png,images/train_2000/009.png_crop_499_0000_ref.png,B
test1,67,images/train_2000/009.png_crop_539_0000_a.png,images/train_2000/009.png_crop_539_0000_b.png,images/train_2000/009.png_crop_539_0000_ref.png,images/train_2000/009.png_crop_539_0000_ref.png,A
test1,68,images/train_2000/009.png_crop_611_0000_a.png,images/train_2000/009.png_crop_611_0000_b.png,images/train_2000/009.png_crop_611_0000_ref.png,images/train_2000/009.png_crop_611_0000_ref.png,A
test1,69,images/train_2000/009.png_crop_999_0000_a.png,images/train_2000/009.png_crop_999_0000_b.png,images/train_2000/009.png_crop_999_0000_ref.png,images/train_2000/009.png_crop_999_0000_ref.png,B
test1,70,images/train_2000/015.png_crop_1027_0000_a.png,images/train_2000/015.png_crop_1027_0000_b.png,images/train_2000/015.png_crop_1027_0000_ref.png,images/train_2000/015.png_crop_1027_0000_ref.png,A
test1,71,images/train_2000/015.png_crop_1115_0000_a.png,images/train_2000/015.png_crop_1115_0000_b.png,images/train_2000/015.png_crop_1115_0000_ref.png,images/train_2000/015.png_crop_1115_0000_ref.png,A
test1,72,images/train_2000/015.png_crop_1169_0000_a.png,images/train_2000/015.png_crop_1169_0000_b.png,images/train_2000/015.png_crop_1169_0000_ref.png,images/train_2000/015.png_crop_1169_0000_ref.png,B
test1,73,images/train_2000/015.png_crop_1212_0000_a.png,images/train_2000/015.png_crop_1212_0000_b.png,images/train_2000/015.png_crop_1212_0000_ref.png,images/train_2000/015.png_crop_1212_0000_ref.png,B
test1,74,images/train_2000/015.png_crop_1380_0000_a.png,images/train_2000/015.png_crop_1380_0000_b.png,images/train_2000/015.png_crop_1380_0000_ref.png,images/train_2000/015.png_crop_1380_0000_ref.png,B
test1,75,images/train_2000/015.png_crop_1600_0000_a.png,images/train_2000/015.png_crop_1600_0000_b.png,images/train_2000/015.png_crop_1600_0000_ref.png,images/train_2000/015.png_crop_1600_0000_ref.png,A
test1,76,images/train_2000/015.png_crop_1971_0000_a.png,images/train_2000/015.png_crop_1971_0000_b.png,images/train_2000/015.png_crop_1971_0000_ref.png,images/train_2000/015.png_crop_1971_0000_ref.png,B
test1,77,images/train_2000/015.png_crop_199_0000_a.png,images/train_2000/015.png_crop_199_0000_b.png,images/train_2000/015.png_crop_199_0000_ref.png,images/train_2000/015.png_crop_199_0000_ref.png,A
test1,78,images/train_2000/015.png_crop_2120_0000_a.png,images/train_2000/015.png_crop_2120_0000_b.png,images/train_2000/015.png_crop_2120_0000_ref.png,images/train_2000/015.png_crop_2120_0000_ref.png,A
test1,79,images/train_2000/015.png_crop_2390_0000_a.png,images/train_2000/015.png_crop_2390_0000_b.png,images/train_2000/015.png_crop_2390_0000_ref.png,images/train_2000/015.png_crop_2390_0000_ref.png,B
test1,80,images/train_2000/015.png_crop_2601_0000_a.png,images/train_2000/015.png_crop_2601_0000_b.png,images/train_2000/015.png_crop_2601_0000_ref.png,images/train_2000/015.png_crop_2601_0000_ref.png,B
test1,81,images/train_2000/015.png_crop_2663_0000_a.png,images/train_2000/015.png_crop_2663_0000_b.png,images/train_2000/015.png_crop_2663_0000_ref.png,images/train_2000/015.png_crop_2663_0000_ref.png,B
test1,82,images/train_2000/015.png_crop_3081_0000_a.png,images/train_2000/015.png_crop_3081_0000_b.png,images/train_2000/015.png_crop_3081_0000_ref.png,images/train_2000/015.png_crop_3081_0000_ref.png,B
test1,83,images/train_2000/015.png_crop_3086_0000_a.png,images/train_2000/015.png_crop_3086_0000_b.png,images/train_2000/015.png_crop_3086_0000_ref.png,images/train_2000/015.png_crop_3086_0000_ref.png,B
test1,84,images/train_2000/015.png_crop_3125_0000_a.png,images/train_2000/015.png_crop_3125_0000_b.png,images/train_2000/015.png_crop_3125_0000_ref.png,images/train_2000/015.png_crop_3125_0000_ref.png,B
test1,85,images/train_2000/015.png_crop_3236_0000_a.png,images/train_2000/015.png_crop_3236_0000_b.png,images/train_2000/015.png_crop_3236_0000_ref.png,images/train_2000/015.png_crop_3236_0000_ref.png,B
test1,86,images/train_2000/015.png_crop_3253_0000_a.png,images/train_2000/015.png_crop_3253_0000_b.png,images/train_2000/015.png_crop_3253_0000_ref.png,images/train_2000/015.png_crop_3253_0000_ref.png,B
test1,87,images/train_2000/015.png_crop_336_0000_a.png,images/train_2000/015.png_crop_336_0000_b.png,images/train_2000/015.png_crop_336_0000_ref.png,images/train_2000/015.png_crop_336_0000_ref.png,B
test1,88,images/train_2000/015.png_crop_3505_0000_a.png,images/train_2000/015.png_crop_3505_0000_b.png,images/train_2000/015.png_crop_3505_0000_ref.png,images/train_2000/015.png_crop_3505_0000_ref.png,A
test1,89,images/train_2000/015.png_crop_3734_0000_a.png,images/train_2000/015.png_crop_3734_0000_b.png,images/train_2000/015.png_crop_3734_0000_ref.png,images/train_2000/015.png_crop_3734_0000_ref.png,B
test1,90,images/train_2000/015.png_crop_3946_0000_a.png,images/train_2000/015.png_crop_3946_0000_b.png,images/train_2000/015.png_crop_3946_0000_ref.png,images/train_2000/015.png_crop_3946_0000_ref.png,B
test1,91,images/train_2000/015.png_crop_4007_0000_a.png,images/train_2000/015.png_crop_4007_0000_b.png,images/train_2000/015.png_crop_4007_0000_ref.png,images/train_2000/015.png_crop_4007_0000_ref.png,B
test1,92,images/train_2000/015.png_crop_4065_0000_a.png,images/train_2000/015.png_crop_4065_0000_b.png,images/train_2000/015.png_crop_4065_0000_ref.png,images/train_2000/015.png_crop_4065_0000_ref.png,B
test1,93,images/train_2000/015.png_crop_4228_0000_a.png,images/train_2000/015.png_crop_4228_0000_b.png,images/train_2000/015.png_crop_4228_0000_ref.png,images/train_2000/015.png_crop_4228_0000_ref.png,B
test1,94,images/train_2000/015.png_crop_4404_0000_a.png,images/train_2000/015.png_crop_4404_0000_b.png,images/train_2000/015.png_crop_4404_0000_ref.png,images/train_2000/015.png_crop_4404_0000_ref.png,A
test1,95,images/train_2000/015.png_crop_470_0000_a.png,images/train_2000/015.png_crop_470_0000_b.png,images/train_2000/015.png_crop_470_0000_ref.png,images/train_2000/015.png_crop_470_0000_ref.png,A
test1,96,images/train_2000/020.png_crop_214_0000_a.png,images/train_2000/020.png_crop_214_0000_b.png,images/train_2000/020.png_crop_214_0000_ref.png,images/train_2000/020.png_crop_214_0000_ref.png,B
test1,97,images/train_2000/020.png_crop_2373_0000_a.png,images/train_2000/020.png_crop_2373_0000_b.png,images/train_2000/020.png_crop_2373_0000_ref.png,images/train_2000/020.png_crop_2373_0000_ref.png,A
test1,98,images/train_2000/020.png_crop_2805_0000_a.png,images/train_2000/020.png_crop_2805_0000_b.png,images/train_2000/020.png_crop_2805_0000_ref.png,images/train_2000/020.png_crop_2805_0000_ref.png,B
test1,99,images/train_2000/020.png_crop_2897_0000_a.png,images/train_2000/020.png_crop_2897_0000_b.png,images/train_2000/020.png_crop_2897_0000_ref.png,images/train_2000/020.png_crop_2897_0000_ref.png,B
test1,100,images/train_2000/020.png_crop_3027_0000_a.png,images/train_2000/020.png_crop_3027_0000_b.png,images/train_2000/020.png_crop_3027_0000_ref.png,images/train_2000/020.png_crop_3027_0000_ref.png,A
test1,101,images/train_2000/020.png_crop_3038_0000_a.png,images/train_2000/020.png_crop_3038_0000_b.png,images/train_2000/020.png_crop_3038_0000_ref.png,images/train_2000/020.png_crop_3038_0000_ref.png,A
test1,102,images/train_2000/020.png_crop_3573_0000_a.png,images/train_2000/020.png_crop_3573_0000_b.png,images/train_2000/020.png_crop_3573_0000_ref.png,images/train_2000/020.png_crop_3573_0000_ref.png,B
test1,103,images/train_2000/020.png_crop_3744_0000_a.png,images/train_2000/020.png_crop_3744_0000_b.png,images/train_2000/020.png_crop_3744_0000_ref.png,images/train_2000/020.png_crop_3744_0000_ref.png,A
test1,104,images/train_2000/020.png_crop_4136_0000_a.png,images/train_2000/020.png_crop_4136_0000_b.png,images/train_2000/020.png_crop_4136_0000_ref.png,images/train_2000/020.png_crop_4136_0000_ref.png,A
test1,105,images/train_2000/020.png_crop_4188_0000_a.png,images/train_2000/020.png_crop_4188_0000_b.png,images/train_2000/020.png_crop_4188_0000_ref.png,images/train_2000/020.png_crop_4188_0000_ref.png,A
test1,106,images/train_2000/020.png_crop_4296_0000_a.png,images/train_2000/020.png_crop_4296_0000_b.png,images/train_2000/020.png_crop_4296_0000_ref.png,images/train_2000/020.png_crop_4296_0000_ref.png,A
test1,107,images/train_2000/020.png_crop_4409_0000_a.png,images/train_2000/020.png_crop_4409_0000_b.png,images/train_2000/020.png_crop_4409_0000_ref.png,images/train_2000/020.png_crop_4409_0000_ref.png,B
test1,108,images/train_2000/020.png_crop_5125_0000_a.png,images/train_2000/020.png_crop_5125_0000_b.png,images/train_2000/020.png_crop_5125_0000_ref.png,images/train_2000/020.png_crop_5125_0000_ref.png,B
test1,109,images/train_2000/020.png_crop_5257_0000_a.png,images/train_2000/020.png_crop_5257_0000_b.png,images/train_2000/020.png_crop_5257_0000_ref.png,images/train_2000/020.png_crop_5257_0000_ref.png,A
test1,110,images/train_2000/020.png_crop_541_0000_a.png,images/train_2000/020.png_crop_541_0000_b.png,images/train_2000/020.png_crop_541_0000_ref.png,images/train_2000/020.png_crop_541_0000_ref.png,B
test1,111,images/train_2000/020.png_crop_5524_0000_a.png,images/train_2000/020.png_crop_5524_0000_b.png,images/train_2000/020.png_crop_5524_0000_ref.png,images/train_2000/020.png_crop_5524_0000_ref.png,A
test1,112,images/train_2000/020.png_crop_5632_0000_a.png,images/train_2000/020.png_crop_5632_0000_b.png,images/train_2000/020.png_crop_5632_0000_ref.png,images/train_2000/020.png_crop_5632_0000_ref.png,B
test1,113,images/train_2000/020.png_crop_5695_0000_a.png,images/train_2000/020.png_crop_5695_0000_b.png,images/train_2000/020.png_crop_5695_0000_ref.png,images/train_2000/020.png_crop_5695_0000_ref.png,B
test1,114,images/train_2000/020.png_crop_5945_0000_a.png,images/train_2000/020.png_crop_5945_0000_b.png,images/train_2000/020.png_crop_5945_0000_ref.png,images/train_2000/020.png_crop_5945_0000_ref.png,A
test1,115,images/train_2000/020.png_crop_598_0000_a.png,images/train_2000/020.png_crop_598_0000_b.png,images/train_2000/020.png_crop_598_0000_ref.png,images/train_2000/020.png_crop_598_0000_ref.png,A
test1,116,images/train_2000/020.png_crop_6087_0000_a.png,images/train_2000/020.png_crop_6087_0000_b.png,images/train_2000/020.png_crop_6087_0000_ref.png,images/train_2000/020.png_crop_6087_0000_ref.png,B
test1,117,images/train_2000/020.png_crop_6252_0000_a.png,images/train_2000/020.png_crop_6252_0000_b.png,images/train_2000/020.png_crop_6252_0000_ref.png,images/train_2000/020.png_crop_6252_0000_ref.png,A
test1,118,images/train_2000/020.png_crop_6275_0000_a.png,images/train_2000/020.png_crop_6275_0000_b.png,images/train_2000/020.png_crop_6275_0000_ref.png,images/train_2000/020.png_crop_6275_0000_ref.png,A
test1,119,images/train_2000/020.png_crop_6343_0000_a.png,images/train_2000/020.png_crop_6343_0000_b.png,images/train_2000/020.png_crop_6343_0000_ref.png,images/train_2000/020.png_crop_6343_0000_ref.png,B
test1,120,images/train_2000/020.png_crop_6486_0000_a.png,images/train_2000/020.png_crop_6486_0000_b.png,images/train_2000/020.png_crop_6486_0000_ref.png,images/train_2000/020.png_crop_6486_0000_ref.png,B
test1,121,images/train_2000/020.png_crop_959_0000_a.png,images/train_2000/020.png_crop_959_0000_b.png,images/train_2000/020.png_crop_959_0000_ref.png,images/train_2000/020.png_crop_959_0000_ref.png,B
test1,122,images/train_2000/023.png_crop_1190_0000_a.png,images/train_2000/023.png_crop_1190_0000_b.png,images/train_2000/023.png_crop_1190_0000_ref.png,images/train_2000/023.png_crop_1190_0000_ref.png,A
test1,123,images/train_2000/023.png_crop_1319_0000_a.png,images/train_2000/023.png_crop_1319_0000_b.png,images/train_2000/023.png_crop_1319_0000_ref.png,images/train_2000/023.png_crop_1319_0000_ref.png,B
test1,124,images/train_2000/023.png_crop_1841_0000_a.png,images/train_2000/023.png_crop_1841_0000_b.png,images/train_2000/023.png_crop_1841_0000_ref.png,images/train_2000/023.png_crop_1841_0000_ref.png,A
test1,125,images/train_2000/023.png_crop_2279_0000_a.png,images/train_2000/023.png_crop_2279_0000_b.png,images/train_2000/023.png_crop_2279_0000_ref.png,images/train_2000/023.png_crop_2279_0000_ref.png,A
test1,126,images/train_2000/023.png_crop_2357_0000_a.png,images/train_2000/023.png_crop_2357_0000_b.png,images/train_2000/023.png_crop_2357_0000_ref.png,images/train_2000/023.png_crop_2357_0000_ref.png,A
test1,127,images/train_2000/023.png_crop_2393_0000_a.png,images/train_2000/023.png_crop_2393_0000_b.png,images/train_2000/023.png_crop_2393_0000_ref.png,images/train_2000/023.png_crop_2393_0000_ref.png,B
test1,128,images/train_2000/023.png_crop_2558_0000_a.png,images/train_2000/023.png_crop_2558_0000_b.png,images/train_2000/023.png_crop_2558_0000_ref.png,images/train_2000/023.png_crop_2558_0000_ref.png,A
test1,129,images/train_2000/023.png_crop_2565_0000_a.png,images/train_2000/023.png_crop_2565_0000_b.png,images/train_2000/023.png_crop_2565_0000_ref.png,images/train_2000/023.png_crop_2565_0000_ref.png,B
test1,130,images/train_2000/023.png_crop_2572_0000_a.png,images/train_2000/023.png_crop_2572_0000_b.png,images/train_2000/023.png_crop_2572_0000_ref.png,images/train_2000/023.png_crop_2572_0000_ref.png,B
test1,131,images/train_2000/023.png_crop_2873_0000_a.png,images/train_2000/023.png_crop_2873_0000_b.png,images/train_2000/023.png_crop_2873_0000_ref.png,images/train_2000/023.png_crop_2873_0000_ref.png,A
test1,132,images/train_2000/023.png_crop_3151_0000_a.png,images/train_2000/023.png_crop_3151_0000_b.png,images/train_2000/023.png_crop_3151_0000_ref.png,images/train_2000/023.png_crop_3151_0000_ref.png,A
